Distance_(pixels),Gray_Value
1194,2802.453
1195,3956.496
1196,5278.715
1197,6717.752
1198,8006.336
1199,8894.481
1200,9432.993
1201,9568.496
1202,9098.365
1203,8164.146
1204,6814.832
1205,5311.183
1206,3915.212
1207,2728.584
1208,1900.117
1209,1365.226
1210,1042.628
1211,968.000
1212,1053.168
1213,1121.343
1214,1152.000
1215,1144.409
1216,1103.942
1217,1048.000
1218,973.752
1219,904.000
1220,889.927
1221,924.993
1222,933.577
1223,944.993
1224,920.847
1225,875.066
1226,875.095
1227,869.693
1228,875.328
1229,889.664
1230,900.350
1231,916.234
1232,915.650
1233,888.000
1234,872.934
1235,873.869
1236,867.650
1237,901.197
1238,926.832
1239,952.000
1240,932.818
1241,883.737
1242,890.102
1243,893.664
1244,874.715
1245,866.394
1246,897.372
1247,921.460
1248,916.496
1249,910.394
1250,909.985
1251,910.511
1252,891.562
1253,888.321
1254,900.642
1255,942.569
1256,946.745
1257,908.409
1258,880.000
1259,857.927
1260,873.693
1261,902.540
1262,919.387
1263,920.000
1264,903.241
1265,887.737
1266,887.854
1267,880.088
1268,863.650
1269,847.796
1270,878.394
1271,888.000
1272,861.547
1273,854.715
1274,889.577
1275,928.000
1276,906.044
1277,866.277
1278,861.022
1279,866.745
1280,888.000
1281,951.971
1282,967.387
1283,950.161
1284,944.175
1285,912.000
1286,872.759
1287,852.613
1288,871.270
1289,904.000
1290,909.314
1291,917.226
1292,910.657
1293,915.971
1294,912.000
1295,900.964
1296,925.927
1297,939.153
1298,937.635
1299,916.876
1300,904.701
1301,896.234
1302,911.883
1303,940.526
1304,925.460
1305,901.226
1306,900.526
1307,883.358
1308,892.759
1309,904.000
1310,872.000
1311,866.891
1312,885.869
1313,879.942
1314,887.620
1315,910.540
1316,913.226
1317,901.051
1318,889.781
1319,930.131
1320,950.161
1321,912.000
1322,879.971
1323,882.044
1324,898.745
1325,915.766
1326,915.416
1327,903.153
1328,882.861
1329,909.518
1330,949.314
1331,902.336
1332,878.686
1333,902.394
1334,896.204
1335,888.175
1336,904.088
1337,904.438
1338,873.577
1339,888.000
1340,901.022
1341,879.387
1342,874.920
1343,869.080
1344,859.854
1345,885.839
1346,922.015
1347,916.058
1348,931.708
1349,945.810
1350,902.336
1351,881.781
1352,891.796
1353,891.971
1354,889.606
1355,905.255
1356,944.905
1357,950.073
1358,912.000
1359,885.431
1360,879.007
1361,900.204
1362,914.540
1363,905.723
1364,928.000
1365,931.416
1366,892.467
1367,891.650
1368,916.234
1369,908.584
1370,920.000
1371,936.000
1372,912.934
1373,869.051
1374,877.401
1375,914.248
1376,905.401
1377,912.088
1378,920.000
1379,896.847
1380,901.168
1381,922.423
1382,912.000
1383,896.555
1384,888.000
1385,904.993
1386,949.869
1387,936.000
1388,883.387
1389,881.781
1390,903.679
1391,907.095
1392,898.861
1393,921.431
1394,920.000
1395,909.401
1396,935.036
1397,914.540
1398,892.380
1399,918.774
1400,904.000
1401,896.000
1402,919.212
1403,903.854
1404,904.000
1405,896.263
1406,888.818
1407,905.285
1408,898.190
1409,906.219
1410,888.672
1411,887.212
1412,929.664
1413,926.978
1414,910.832
1415,920.000
1416,947.883
1417,952.000
1418,936.000
1419,927.387
1420,926.161
1421,895.825
1422,869.927
1423,877.810
1424,908.613
1425,921.693
1426,903.620
1427,903.971
1428,909.547
1429,933.109
1430,950.015
1431,934.628
1432,932.555
1433,920.000
1434,914.423
1435,942.365
1436,947.708
1437,943.650
1438,931.825
1439,912.117
1440,896.701
1441,883.708
1442,902.365
1443,912.000
1444,905.285
1445,912.000
1446,907.124
1447,907.007
1448,930.891
1449,901.869
1450,866.599
1451,892.701
1452,918.540
1453,914.307
1454,906.861
1455,917.635
1456,907.912
1457,897.197
1458,920.000
1459,963.182
1460,989.577
1461,992.905
1462,977.723
1463,968.000
1464,972.088
1465,997.431
1466,1048.000
1467,1073.343
1468,1109.547
1469,1167.007
1470,1213.781
1471,1267.270
1472,1305.314
1473,1343.474
1474,1325.518
1475,1275.533
1476,1249.168
1477,1169.051
1478,1098.482
1479,1028.350
1480,946.073
1481,891.182
1482,906.161
1483,930.394
1484,923.942
1485,933.723
1486,929.547
1487,929.664
1488,923.562
1489,905.898
1490,899.971
1491,891.737
1492,878.745
1493,909.635
1494,937.109
1495,915.212
1496,900.847
1497,921.343
1498,919.153
1499,918.131
1500,945.547
1501,953.898
1502,947.416
1503,939.533
1504,926.599
1505,920.467
1506,928.701
1507,928.000
1508,928.934
1509,920.000
1510,891.650
1511,904.934
1512,906.248
1513,897.898
1514,921.547
1515,930.394
1516,918.745
1517,898.832
1518,909.431
1519,927.796
1520,924.409
1521,918.190
1522,912.993
1523,904.000
1524,894.044
1525,909.693
1526,892.438
1527,859.328
1528,850.832
1529,858.861
1530,873.314
1531,867.591
1532,885.401
1533,915.854
1534,928.000
1535,950.540
1536,950.774
1537,936.993
1538,911.620
1539,856.526
1540,856.876
1541,888.117
1542,912.088
1543,903.796
1544,872.642
1545,895.562
1546,918.336
1547,911.328
1548,895.212
1549,901.285
1550,932.934
1551,896.000
1552,862.277
1553,886.861
1554,918.511
1555,913.577
1556,868.555
1557,862.161
1558,889.956
1559,902.219
1560,894.569
1561,899.387
1562,911.036
1563,910.219
1564,909.372
1565,898.774
1566,890.891
1567,913.985
1568,915.504
1569,899.036
1570,900.642
1571,916.526
1572,908.409
1573,895.416
1574,891.825
1575,896.000
1576,900.058
1577,892.526
1578,884.876
1579,889.635
1580,917.577
1581,917.927
1582,894.277
1583,897.372
1584,911.036
1585,907.562
1586,909.869
1587,935.971
1588,949.460
1589,936.000
1590,908.613
1591,874.190
1592,883.854
1593,913.956
1594,907.679
1595,868.555
1596,848.000
1597,873.489
1598,917.255
1599,922.978
